Location	ExpCondition	ExpID
1	Ornaisons	2
2	Narbonne	1
3	Ornaisons	2
4	Narbonne	1
5	Ornaisons	2
6	Narbonne	1
7	Ornaisons	2
8	Narbonne	1
9	Ornaisons	2
10	Narbonne	1
11	Ornaisons	2
12	Narbonne	1
13	Ornaisons	2
14	Narbonne	1
15	Ornaisons	2
16	Narbonne	1
17	Ornaisons	2
18	Narbonne	1
19	Ornaisons	2
20	Narbonne	1
21	Ornaisons	2
22	Narbonne	1
23	Ornaisons	2
24	Narbonne	1
25	Ornaisons	2
26	Narbonne	1
27	Ornaisons	2
28	Narbonne	1
29	Ornaisons	2
30	Narbonne	1
31	Ornaisons	2
32	Narbonne	1
33	Ornaisons	2
34	Narbonne	1
35	Ornaisons	2
36	Narbonne	1
37	Ornaisons	2
38	Narbonne	1
39	Ornaisons	2
40	Narbonne	1
41	Ornaisons	2
42	Narbonne	1
43	Ornaisons	2
44	Narbonne	1
45	Ornaisons	2
46	Narbonne	1
47	Ornaisons	2
48	Narbonne	1
49	Ornaisons	2
50	Narbonne	1
51	Ornaisons	2
52	Narbonne	1
53	Ornaisons	2
54	Narbonne	1
55	Ornaisons	2
56	Narbonne	1
57	Ornaisons	2
58	Narbonne	1
59	Ornaisons	2
60	Narbonne	1
61	Ornaisons	2
62	Narbonne	1
63	Ornaisons	2
64	Narbonne	1
65	Ornaisons	2
66	Narbonne	1
67	Ornaisons	2
68	Narbonne	1
69	Ornaisons	2
70	Narbonne	1
71	Ornaisons	2
72	Narbonne	1
