 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,scanner_image_01,126234,1477.997,585.188,405.445,396.419,22.536,0.879,1.023,0.978,0.991
2,scanner_image_01,120411,550.649,585.885,402.906,380.516,54.484,0.831,1.059,0.944,0.985
3,scanner_image_01,125650,2415.566,586.945,401.520,398.442,179.173,0.866,1.008,0.992,0.990
4,scanner_image_01,128599,3356.760,586.482,408.216,401.104,4.810,0.888,1.018,0.983,0.993
5,scanner_image_01,128683,5243.206,589.647,412.335,397.357,158.003,0.868,1.038,0.964,0.989
6,scanner_image_01,128665,6186.090,594.162,413.421,396.258,147.631,0.890,1.043,0.958,0.993
7,scanner_image_01,123763,4293.875,592.903,407.706,386.504,136.802,0.863,1.055,0.948,0.989
8,scanner_image_01,124667,1011.235,1398.244,405.686,391.266,44.910,0.886,1.037,0.964,0.992
9,scanner_image_01,125623,1943.997,1400.094,403.746,396.161,2.268,0.894,1.019,0.981,0.993
10,scanner_image_01,127303,2884.245,1400.599,407.274,397.981,166.389,0.893,1.023,0.977,0.993
11,scanner_image_01,129278,3827.789,1400.416,409.836,401.629,175.449,0.891,1.020,0.980,0.994
12,scanner_image_01,129026,4772.361,1401.807,410.613,400.087,166.613,0.889,1.026,0.974,0.993
13,scanner_image_01,129687,5716.368,1404.473,412.458,400.338,156.977,0.891,1.030,0.971,0.993
14,scanner_image_01,124543,543.643,2208.780,409.070,387.643,48.837,0.884,1.055,0.948,0.992
15,scanner_image_01,125835,1477.347,2211.304,404.836,395.760,28.000,0.894,1.023,0.978,0.994
16,scanner_image_01,127557,2414.611,2212.180,407.676,398.382,8.842,0.888,1.023,0.977,0.993
17,scanner_image_01,128806,3356.330,2211.713,408.570,401.403,175.034,0.884,1.018,0.982,0.993
18,scanner_image_01,129371,4299.691,2214.254,410.475,401.292,171.359,0.891,1.023,0.978,0.994
19,scanner_image_01,128557,5245.492,2216.886,410.542,398.701,158.981,0.889,1.030,0.971,0.993
20,scanner_image_01,128587,6192.249,2220.459,413.105,396.321,151.235,0.895,1.042,0.959,0.993
21,scanner_image_01,125329,1009.404,3022.975,408.326,390.800,47.029,0.885,1.045,0.957,0.993
22,scanner_image_01,125600,1945.380,3025.714,404.613,395.240,19.280,0.875,1.024,0.977,0.992
23,scanner_image_01,128076,2886.617,3025.796,408.548,399.148,5.400,0.891,1.024,0.977,0.994
24,scanner_image_01,127927,3829.373,3026.025,410.493,396.795,3.717,0.878,1.035,0.967,0.991
25,scanner_image_01,128934,4775.530,3029.070,410.720,399.698,167.108,0.889,1.028,0.973,0.994
26,scanner_image_01,128524,5720.786,3031.692,412.133,397.061,152.680,0.894,1.038,0.963,0.993
27,scanner_image_01,123626,540.527,3835.458,406.259,387.451,50.183,0.883,1.049,0.954,0.992
28,scanner_image_01,126560,1475.800,3836.128,407.471,395.466,36.322,0.893,1.030,0.971,0.993
29,scanner_image_01,128182,2415.518,3836.963,408.418,399.606,26.231,0.898,1.022,0.978,0.994
30,scanner_image_01,128734,3357.977,3839.101,409.579,400.189,2.089,0.889,1.023,0.977,0.993
31,scanner_image_01,128820,5248.047,3843.137,410.646,399.416,160.469,0.895,1.028,0.973,0.994
32,scanner_image_01,127929,6193.134,3846.174,411.998,395.352,148.403,0.895,1.042,0.960,0.993
33,scanner_image_01,128571,4302.706,3841.124,410.446,398.839,174.477,0.885,1.029,0.972,0.993
