 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,marker.tif,157247,1486.835,593.202,461.247,434.069,9.638,0.881,1.063,0.941,0.994
2,marker.tif,159046,2421.288,596.391,468.896,431.873,4.005,0.883,1.086,0.921,0.994
3,marker.tif,161161,4296.269,599.805,472.551,434.231,178.478,0.882,1.088,0.919,0.994
4,marker.tif,149389,560.264,595.393,455.009,418.031,22.150,0.876,1.088,0.919,0.994
5,marker.tif,160788,3358.279,598.887,474.085,431.825,1.089,0.873,1.098,0.911,0.994
6,marker.tif,158824,5235.284,601.631,467.237,432.802,172.478,0.883,1.080,0.926,0.994
7,marker.tif,147812,6172.681,612.346,462.201,407.182,161.086,0.849,1.135,0.881,0.992
8,marker.tif,156660,1019.347,1404.718,457.667,435.831,13.110,0.883,1.050,0.952,0.994
9,marker.tif,158030,1952.039,1408.907,466.244,431.556,7.111,0.879,1.080,0.926,0.994
10,marker.tif,161254,3826.067,1413.133,475.230,432.033,177.951,0.871,1.100,0.909,0.993
11,marker.tif,160670,4767.029,1413.306,470.312,434.969,177.838,0.879,1.081,0.925,0.994
12,marker.tif,160014,2888.929,1411.897,473.480,430.295,2.072,0.873,1.100,0.909,0.994
13,marker.tif,158202,5706.775,1414.965,465.026,433.156,168.575,0.875,1.074,0.931,0.994
14,marker.tif,159952,1484.956,2216.533,461.644,441.157,8.162,0.880,1.046,0.956,0.994
15,marker.tif,154644,552.413,2216.375,455.426,432.340,17.652,0.880,1.053,0.949,0.994
16,marker.tif,162084,2419.776,2220.042,469.734,439.338,3.737,0.874,1.069,0.935,0.994
17,marker.tif,164055,3356.944,2222.117,475.163,439.600,179.576,0.879,1.081,0.925,0.994
18,marker.tif,162914,4296.198,2224.373,473.581,438.001,177.905,0.880,1.081,0.925,0.994
19,marker.tif,160821,5238.847,2225.478,466.898,438.562,174.749,0.876,1.065,0.939,0.994
20,marker.tif,155848,6181.671,2231.025,462.772,428.790,165.813,0.880,1.079,0.927,0.994
21,marker.tif,158178,1016.413,3028.787,458.078,439.660,11.911,0.887,1.042,0.960,0.994
22,marker.tif,159462,1952.002,3033.330,465.918,435.771,5.866,0.878,1.069,0.935,0.994
23,marker.tif,161568,2889.383,3036.420,472.775,435.121,0.045,0.871,1.087,0.920,0.993
24,marker.tif,162168,3827.256,3038.203,475.251,434.462,179.192,0.878,1.094,0.914,0.994
25,marker.tif,159630,5712.946,3040.054,464.830,437.251,172.728,0.883,1.063,0.941,0.994
26,marker.tif,160303,4770.035,3040.562,470.856,433.475,175.697,0.876,1.086,0.921,0.993
27,marker.tif,154688,548.908,3842.268,455.056,432.814,16.067,0.878,1.051,0.951,0.994
28,marker.tif,158074,1482.610,3844.841,462.215,435.438,5.291,0.878,1.061,0.942,0.994
29,marker.tif,160056,5241.692,3853.293,468.159,435.300,177.720,0.880,1.075,0.930,0.994
30,marker.tif,157559,6183.959,3854.708,462.255,433.982,170.032,0.879,1.065,0.939,0.994
31,marker.tif,158149,2420.099,3850.689,471.143,427.390,3.528,0.870,1.102,0.907,0.994
32,marker.tif,158566,3359.307,3854.949,476.814,423.420,0.737,0.872,1.126,0.888,0.993
33,marker.tif,158917,4299.145,3855.566,475.124,425.867,179.594,0.870,1.116,0.896,0.993
34,marker.tif,157394,1014.088,4655.770,457.678,437.863,10.389,0.886,1.045,0.957,0.994
35,marker.tif,158961,1950.136,4660.193,466.464,433.893,5.696,0.880,1.075,0.930,0.994
36,marker.tif,160745,4769.713,4666.120,470.969,434.565,176.274,0.877,1.084,0.923,0.994
37,marker.tif,159184,5712.742,4666.750,464.970,435.898,174.587,0.881,1.067,0.937,0.994
38,marker.tif,160898,3827.886,4666.241,476.558,429.878,179.268,0.860,1.109,0.902,0.993
39,marker.tif,158709,2888.104,4666.013,474.993,425.427,179.901,0.872,1.117,0.896,0.994
40,marker.tif,154193,547.437,5468.143,454.699,431.769,20.812,0.877,1.053,0.950,0.994
41,marker.tif,157286,1481.209,5471.079,462.301,433.187,6.158,0.876,1.067,0.937,0.994
42,marker.tif,160349,2418.328,5473.328,469.892,434.489,2.061,0.877,1.081,0.925,0.994
43,marker.tif,161965,4298.010,5477.201,473.754,435.289,177.449,0.875,1.088,0.919,0.994
44,marker.tif,157934,6183.547,5478.962,461.705,435.533,171.322,0.879,1.060,0.943,0.994
45,marker.tif,160888,3358.166,5477.428,476.507,429.897,1.826,0.867,1.108,0.902,0.994
46,marker.tif,156963,5239.729,5481.441,467.869,427.153,174.757,0.861,1.095,0.913,0.993
47,marker.tif,157094,1012.616,6281.433,457.811,436.902,7.652,0.878,1.048,0.954,0.994
48,marker.tif,159322,1949.107,6284.636,466.351,434.984,5.371,0.877,1.072,0.933,0.994
49,marker.tif,163386,3827.045,6288.451,475.591,437.413,178.841,0.879,1.087,0.920,0.994
50,marker.tif,161707,2887.225,6287.316,473.573,434.763,179.290,0.876,1.089,0.918,0.994
51,marker.tif,159146,4768.300,6292.886,471.620,429.649,174.987,0.872,1.098,0.911,0.994
52,marker.tif,157246,5711.883,6293.637,465.538,430.066,176.922,0.872,1.082,0.924,0.994
53,marker.tif,154925,546.289,7093.256,454.973,433.557,15.392,0.875,1.049,0.953,0.994
54,marker.tif,158068,1480.672,7095.764,462.354,435.291,6.637,0.882,1.062,0.941,0.994
55,marker.tif,161624,2417.621,7097.298,469.636,438.182,2.133,0.877,1.072,0.933,0.994
56,marker.tif,161837,4296.629,7102.969,473.427,435.246,176.701,0.878,1.088,0.919,0.994
57,marker.tif,162025,3357.209,7102.016,476.117,433.290,1.055,0.870,1.099,0.910,0.993
58,marker.tif,158364,6182.459,7104.566,461.912,436.523,173.985,0.884,1.058,0.945,0.994
59,marker.tif,156715,5239.022,7108.031,468.490,425.912,175.938,0.869,1.100,0.909,0.993
