Location	ExpCondition	ExpID
01	Ornaisons	2
02	Narbonne	1
03	Ornaisons	2
04	Narbonne	1
05	Ornaisons	2
06	Narbonne	1
07	Ornaisons	2
08	Ornaisons	2
09	Narbonne	1
10	Ornaisons	2
11	Narbonne	1
12	Ornaisons	2
13	Narbonne	1
14	Narbonne	1
15	Ornaisons	2
16	Narbonne	1
17	Ornaisons	2
18	Narbonne	1
19	Ornaisons	2
20	Narbonne	1
21	Narbonne	1
22	Ornaisons	2
23	Narbonne	1
24	Ornaisons	2
25	Narbonne	1
26	Ornaisons	2
27	Ornaisons	2
28	Narbonne	1
29	Ornaisons	2
30	Narbonne	1
31	Ornaisons	2
32	Narbonne	1
33	Ornaisons	2
34	Ornaisons	2
35	Narbonne	1
36	Ornaisons	2
37	Narbonne	1
38	Ornaisons	2
39	Narbonne	1
40	Narbonne	1
41	Ornaisons	2
42	Narbonne	1
43	Ornaisons	2
44	Narbonne	1
45	Ornaisons	2
46	Narbonne	1
47	Narbonne	1
48	Ornaisons	2
49	Narbonne	1
50	Ornaisons	2
51	Narbonne	1
52	Ornaisons	2
53	Ornaisons	2
54	Narbonne	1
55	Ornaisons	2
56	Narbonne	1
57	Ornaisons	2
58	Narbonne	1
59	Ornaisons	2
60	Ornaisons	2
61	Narbonne	1
62	Ornaisons	2
63	Narbonne	1
64	Ornaisons	2
65	Narbonne	1
66	Narbonne	1
67	Ornaisons	2
68	Narbonne	1
69	Ornaisons	2
70	Narbonne	1
71	Ornaisons	2
72	Narbonne	1
