 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,marker.tif,123575,550.395,581.911,409.002,384.693,59.160,0.881,1.063,0.941,0.992
2,marker.tif,127173,1479.350,583.627,409.309,395.597,41.282,0.891,1.035,0.966,0.993
3,marker.tif,128059,2416.586,584.535,408.102,399.532,34.467,0.893,1.021,0.979,0.994
4,marker.tif,128921,3356.865,585.888,407.679,402.638,10.264,0.892,1.013,0.988,0.993
5,marker.tif,129140,4299.750,588.106,409.149,401.873,169.507,0.895,1.018,0.982,0.994
6,marker.tif,129302,5242.654,590.593,411.063,400.505,159.725,0.890,1.026,0.974,0.993
7,marker.tif,128118,6185.716,594.240,412.684,395.278,144.008,0.882,1.044,0.958,0.991
8,marker.tif,125235,1012.232,1396.957,409.081,389.786,51.402,0.887,1.050,0.953,0.993
9,marker.tif,127522,1946.099,1397.412,408.748,397.228,39.538,0.888,1.029,0.972,0.993
10,marker.tif,128929,2885.779,1398.364,408.507,401.847,21.075,0.888,1.017,0.984,0.993
11,marker.tif,129452,3827.864,1399.979,409.390,402.607,176.597,0.892,1.017,0.983,0.994
12,marker.tif,129192,4772.122,1402.374,410.199,401.007,164.326,0.892,1.023,0.978,0.994
13,marker.tif,129451,5716.275,1404.482,412.253,399.808,155.670,0.893,1.031,0.970,0.993
14,marker.tif,124386,544.065,2208.516,409.310,386.927,51.105,0.880,1.058,0.945,0.992
15,marker.tif,126743,1478.467,2209.834,408.608,394.936,40.485,0.890,1.035,0.967,0.993
16,marker.tif,128263,2415.254,2211.005,408.655,399.626,26.299,0.893,1.023,0.978,0.994
17,marker.tif,129215,3355.797,2212.080,409.145,402.110,4.470,0.893,1.017,0.983,0.994
18,marker.tif,129344,4299.672,2214.201,410.241,401.437,170.302,0.895,1.022,0.979,0.994
19,marker.tif,128435,5245.383,2216.724,410.383,398.478,156.437,0.891,1.030,0.971,0.993
20,marker.tif,128119,6191.916,2220.520,412.769,395.199,148.345,0.886,1.044,0.957,0.992
21,marker.tif,125267,1009.863,3022.530,408.950,390.011,51.253,0.884,1.049,0.954,0.992
22,marker.tif,127402,1946.226,3023.638,408.387,397.204,34.455,0.893,1.028,0.973,0.994
23,marker.tif,128665,2886.840,3024.738,408.372,401.157,17.549,0.890,1.018,0.982,0.994
24,marker.tif,129091,3828.972,3026.218,409.404,401.471,177.515,0.895,1.020,0.981,0.994
25,marker.tif,128932,4775.470,3028.935,410.354,400.048,164.935,0.893,1.026,0.975,0.994
26,marker.tif,128304,5720.697,3031.692,411.937,396.570,151.533,0.889,1.039,0.963,0.992
27,marker.tif,124060,541.082,3834.582,408.607,386.577,53.465,0.881,1.057,0.946,0.991
28,marker.tif,126464,1476.313,3835.936,408.207,394.454,40.828,0.890,1.035,0.966,0.993
29,marker.tif,128163,2415.516,3836.898,408.533,399.434,26.893,0.893,1.023,0.978,0.994
30,marker.tif,129044,3358.082,3838.456,409.069,401.653,5.526,0.896,1.018,0.982,0.994
31,marker.tif,129167,4302.435,3840.478,410.217,400.911,171.781,0.894,1.023,0.977,0.994
32,marker.tif,128749,5248.106,3843.161,410.688,399.156,160.210,0.890,1.029,0.972,0.993
33,marker.tif,127671,6192.957,3846.231,411.780,394.763,146.558,0.886,1.043,0.959,0.992
34,marker.tif,125155,1006.798,4649.298,407.664,390.892,45.981,0.886,1.043,0.959,0.991
35,marker.tif,127246,1944.572,4649.845,408.294,396.809,36.258,0.892,1.029,0.972,0.994
36,marker.tif,128605,2885.661,4650.844,408.618,400.729,18.305,0.895,1.020,0.981,0.994
37,marker.tif,129378,3829.589,4652.502,409.968,401.810,179.220,0.894,1.020,0.980,0.994
38,marker.tif,128947,4775.204,4655.014,410.561,399.892,165.937,0.896,1.027,0.974,0.994
39,marker.tif,127834,5719.672,4658.004,410.865,396.148,148.542,0.892,1.037,0.964,0.993
40,marker.tif,124008,538.618,5460.434,408.234,386.768,52.104,0.885,1.056,0.947,0.992
41,marker.tif,126003,1474.923,5461.756,407.350,393.843,41.337,0.889,1.034,0.967,0.993
42,marker.tif,127979,2413.883,5462.579,408.184,399.202,21.722,0.891,1.022,0.978,0.994
43,marker.tif,128757,3356.514,5463.646,408.133,401.679,5.171,0.888,1.016,0.984,0.993
44,marker.tif,128771,4301.715,5466.368,410.080,399.816,170.971,0.894,1.026,0.975,0.994
45,marker.tif,128037,5246.785,5468.803,410.095,397.522,157.016,0.894,1.032,0.969,0.994
46,marker.tif,126652,6191.326,5471.790,410.834,392.515,143.031,0.886,1.047,0.955,0.991
47,marker.tif,125409,1005.661,6274.099,408.153,391.215,48.623,0.886,1.043,0.958,0.993
48,marker.tif,127401,1943.448,6275.029,407.994,397.584,34.815,0.894,1.026,0.974,0.994
49,marker.tif,128687,2884.726,6275.956,408.373,401.224,15.975,0.894,1.018,0.982,0.994
50,marker.tif,129209,3828.609,6277.588,409.581,401.665,176.596,0.895,1.020,0.981,0.994
51,marker.tif,128879,4774.091,6280.278,410.182,400.051,164.472,0.893,1.025,0.975,0.994
52,marker.tif,127537,5718.901,6283.387,410.228,395.842,149.917,0.889,1.036,0.965,0.993
53,marker.tif,124379,538.035,7086.084,408.682,387.500,51.531,0.882,1.055,0.948,0.991
54,marker.tif,126407,1473.854,7087.485,407.712,394.755,37.964,0.889,1.033,0.968,0.993
55,marker.tif,128266,2413.072,7088.303,408.372,399.913,22.626,0.893,1.021,0.979,0.994
56,marker.tif,128936,3355.972,7090.036,408.823,401.558,2.378,0.894,1.018,0.982,0.994
57,marker.tif,129098,4300.670,7092.225,410.101,400.810,169.842,0.893,1.023,0.977,0.994
58,marker.tif,128183,5245.696,7094.812,409.787,398.275,156.203,0.893,1.029,0.972,0.994
59,marker.tif,127326,6190.580,7097.720,411.301,394.155,145.486,0.892,1.043,0.958,0.993
60,marker.tif,125248,1005.439,7900.359,407.732,391.117,48.919,0.890,1.042,0.959,0.993
61,marker.tif,127273,1942.495,7901.097,407.633,397.536,34.267,0.893,1.025,0.975,0.994
62,marker.tif,128492,2883.513,7902.008,408.498,400.494,12.595,0.894,1.020,0.980,0.994
63,marker.tif,128921,3826.961,7903.886,409.429,400.918,177.834,0.894,1.021,0.979,0.994
64,marker.tif,128679,4772.021,7906.270,409.925,399.681,166.998,0.894,1.026,0.975,0.994
65,marker.tif,127320,5715.934,7909.171,409.700,395.677,149.768,0.886,1.035,0.966,0.992
66,marker.tif,124894,538.413,8713.405,409.540,388.289,50.450,0.875,1.055,0.948,0.989
67,marker.tif,126631,1473.655,8713.445,406.844,396.299,34.167,0.886,1.027,0.974,0.992
68,marker.tif,128309,2412.368,8714.381,408.178,400.238,19.373,0.891,1.020,0.981,0.994
69,marker.tif,128787,3354.354,8715.587,408.330,401.579,4.155,0.888,1.017,0.983,0.994
70,marker.tif,129232,4298.343,8717.955,409.923,401.400,170.049,0.891,1.021,0.979,0.994
71,marker.tif,128501,5242.492,8720.523,409.857,399.194,156.704,0.891,1.027,0.974,0.993
72,marker.tif,127322,6185.717,8723.951,410.820,394.605,142.274,0.885,1.041,0.961,0.993
