,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,2018-03-14-02,156704,1486.143,593.239,459.552,434.166,10.062,0.861,1.058,0.945,0.992
2,2018-03-14-02,157560,2419.487,596.897,464.845,431.567,1.325,0.854,1.077,0.928,0.991
3,2018-03-14-02,154224,4289.814,599.362,457.128,429.561,6.016,0.862,1.064,0.94,0.992
4,2018-03-14-02,147524,557.78,595.897,448.788,418.535,24.426,0.852,1.072,0.933,0.99
5,2018-03-14-02,154975,3351.096,598.252,457.584,431.222,2.805,0.88,1.061,0.942,0.994
6,2018-03-14-02,157893,5234.158,601.718,464.371,432.92,171.181,0.861,1.073,0.932,0.992
7,2018-03-14-02,147615,6172.472,612.515,462.194,406.646,160.656,0.836,1.137,0.88,0.991
8,2018-03-14-02,155424,1017.791,1405.155,453.655,436.217,11.753,0.861,1.04,0.962,0.991
9,2018-03-14-02,155707,1949.315,1410.418,460.089,430.9,178.946,0.861,1.068,0.937,0.992
10,2018-03-14-02,155187,3818.872,1411.58,459.134,430.354,1.326,0.875,1.067,0.937,0.994
11,2018-03-14-02,160315,4766.79,1413.164,469.948,434.345,177.36,0.874,1.082,0.924,0.994
12,2018-03-14-02,153654,2881.507,1411.115,457.102,427.997,5.047,0.878,1.068,0.936,0.994
13,2018-03-14-02,157393,5705.72,1414.781,462.305,433.478,168.371,0.856,1.067,0.938,0.991
14,2018-03-14-02,159714,1485.021,2216.629,461.095,441.025,8.316,0.87,1.046,0.956,0.993
15,2018-03-14-02,153065,550.559,2216.927,450.263,432.833,19.367,0.869,1.04,0.961,0.992
16,2018-03-14-02,161900,2419.718,2219.874,469.843,438.737,3.642,0.874,1.071,0.934,0.994
17,2018-03-14-02,157152,3349.392,2221.001,458.752,436.166,3.998,0.881,1.052,0.951,0.994
18,2018-03-14-02,159444,4293.247,2222.684,469.457,432.437,179.807,0.867,1.086,0.921,0.992
19,2018-03-14-02,159426,5240.283,2226.823,464.651,436.86,2.595,0.878,1.064,0.94,0.993
20,2018-03-14-02,155355,6180.98,2231.088,461.175,428.913,164.395,0.864,1.075,0.93,0.992
21,2018-03-14-02,157435,1015.523,3028.958,455.823,439.759,11.681,0.859,1.037,0.965,0.991
22,2018-03-14-02,159036,1951.845,3032.997,465.701,434.809,5.392,0.872,1.071,0.934,0.993
23,2018-03-14-02,156612,2883.77,3036.02,460.57,432.952,1.05,0.868,1.064,0.94,0.993
24,2018-03-14-02,157358,3821.906,3036.717,463.481,432.282,1.709,0.88,1.072,0.933,0.994
25,2018-03-14-02,159627,5712.942,3040.054,464.821,437.251,172.729,0.883,1.063,0.941,0.994
26,2018-03-14-02,155114,4764.213,3038.716,458.17,431.057,179.593,0.882,1.063,0.941,0.994
27,2018-03-14-02,153221,547.002,3842.808,449.802,433.718,15.498,0.864,1.037,0.964,0.993
28,2018-03-14-02,157674,1482.105,3844.86,460.79,435.679,5.639,0.859,1.058,0.946,0.992
29,2018-03-14-02,159879,5241.783,3853.268,468.241,434.743,177.89,0.877,1.077,0.928,0.993
30,2018-03-14-02,154637,6180.325,3853.922,452.803,434.825,170.107,0.857,1.041,0.96,0.992
31,2018-03-14-02,157131,2419.36,3850.231,469.939,425.726,3.308,0.851,1.104,0.906,0.992
32,2018-03-14-02,152357,3353.348,3852.493,463.428,418.591,2.675,0.874,1.107,0.903,0.994
33,2018-03-14-02,156147,4296.517,3854.571,471.158,421.966,179.508,0.86,1.117,0.896,0.992
34,2018-03-14-02,156200,1013.521,4656.267,454.092,437.973,12.356,0.86,1.037,0.965,0.992
35,2018-03-14-02,158224,1949.491,4659.827,465.41,432.86,5.956,0.867,1.075,0.93,0.992
36,2018-03-14-02,154224,4763.356,4665.149,455.772,430.839,3.345,0.868,1.058,0.945,0.993
37,2018-03-14-02,157807,5712.012,4667.465,461.87,435.027,175.897,0.858,1.062,0.942,0.991
38,2018-03-14-02,155005,3821.321,4664.078,462.705,426.532,3.854,0.868,1.085,0.922,0.994
39,2018-03-14-02,156505,2886.168,4665.605,471.173,422.92,177.344,0.862,1.114,0.898,0.992
40,2018-03-14-02,153344,546.36,5468.562,451.549,432.387,20.682,0.868,1.044,0.958,0.993
41,2018-03-14-02,156416,1480.799,5471.413,459.45,433.464,7.312,0.859,1.06,0.943,0.992
42,2018-03-14-02,159171,2417.132,5473.272,467.147,433.831,0.641,0.86,1.077,0.929,0.991
43,2018-03-14-02,157487,4293.148,5476.261,463.152,432.943,0.997,0.88,1.07,0.935,0.994
44,2018-03-14-02,156199,6181.29,5479.002,456.385,435.769,168.09,0.859,1.047,0.955,0.991
45,2018-03-14-02,156102,3352.846,5476.244,464.841,427.577,3.517,0.876,1.087,0.92,0.994
46,2018-03-14-02,153888,5239.497,5482.692,459.422,426.484,1.776,0.857,1.077,0.928,0.991
47,2018-03-14-02,156233,1011.642,6281.865,454.884,437.302,5.23,0.873,1.04,0.961,0.993
48,2018-03-14-02,158170,1947.881,6284.897,463.141,434.832,3.37,0.859,1.065,0.939,0.992
49,2018-03-14-02,157810,2883.39,6285.876,465.415,431.722,0.225,0.876,1.078,0.928,0.993
50,2018-03-14-02,158290,3821.508,6287.646,463.825,434.52,1.703,0.877,1.067,0.937,0.993
51,2018-03-14-02,153473,4761.849,6290.817,457.408,427.207,178.647,0.876,1.071,0.934,0.994
52,2018-03-14-02,155081,5710.382,6293.538,460.064,429.191,2.473,0.858,1.072,0.933,0.99
53,2018-03-14-02,154391,545.64,7093.568,452.975,433.968,14.119,0.867,1.044,0.958,0.993
54,2018-03-14-02,156320,1480.117,7096.11,458.613,433.989,8.571,0.872,1.057,0.946,0.993
55,2018-03-14-02,158449,2413.947,7096.874,461.478,437.168,2.6,0.873,1.056,0.947,0.993
56,2018-03-14-02,157893,4292.503,7101.609,464.498,432.802,0.811,0.877,1.073,0.932,0.994
57,2018-03-14-02,156630,3351.074,7100.533,462.936,430.788,4.734,0.881,1.075,0.931,0.994
